,Determina,Modello,Temperature,Checklist,Municipality,determina_in,accuracy,precision,recall,f1_score,balanced_accuracy,confusion_matrix
141,det_00062_17-01-2025,llama-3.1-70B,1.0,Determine,Lucca,system,0.8181818181818182,0.7636363636363637,0.8181818181818182,0.7676767676767677,0.5,"[[0, 1, 0], [0, 8, 0], [0, 1, 1]]"
142,det_00427_28-02-2025,llama-3.1-70B,1.0,Determine,Lucca,system,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.2916666666666667,"[[0, 0, 0], [0, 7, 0], [1, 1, 0]]"
143,DET_DETE_345_2025,llama-3.1-70B,0.0,Affidamento Diretto,Olbia,system,0.75,0.6195652173913043,0.75,0.6785714285714285,0.3157894736842105,"[[0, 6, 0], [1, 36, 0], [0, 4, 0]]"
144,DET_DETE_345_2025,llama-3.1-70B,0.01,Affidamento Diretto,Olbia,system,0.75,0.6195652173913043,0.75,0.6785714285714285,0.3157894736842105,"[[0, 6, 0], [1, 36, 0], [0, 4, 0]]"
145,DET_DETE_345_2025,llama-3.1-70B,0.2,Affidamento Diretto,Olbia,system,0.75,0.6195652173913043,0.75,0.6785714285714285,0.3157894736842105,"[[0, 6, 0], [1, 36, 0], [0, 4, 0]]"
146,DET_DETE_345_2025,llama-3.1-70B,0.4,Affidamento Diretto,Olbia,system,0.7083333333333334,0.6117424242424242,0.7083333333333334,0.6565040650406504,0.2982456140350877,"[[0, 6, 0], [1, 34, 0], [0, 4, 0]]"
147,DET_DETE_345_2025,llama-3.1-70B,0.5,Affidamento Diretto,Olbia,system,0.7291666666666666,0.6157407407407408,0.7291666666666666,0.6676706827309237,0.30701754385964913,"[[0, 6, 0], [1, 35, 0], [0, 4, 0]]"
148,DET_DETE_345_2025,llama-3.1-70B,0.6,Affidamento Diretto,Olbia,system,0.7916666666666666,0.626736111111111,0.7916666666666666,0.6996124031007752,0.3333333333333333,"[[0, 6, 0], [0, 38, 0], [0, 4, 0]]"
149,DET_DETE_345_2025,llama-3.1-70B,0.8,Affidamento Diretto,Olbia,system,0.6458333333333334,0.6135416666666667,0.6458333333333334,0.6292735042735043,0.2719298245614035,"[[0, 6, 0], [1, 31, 0], [0, 3, 0]]"
150,DET_DETE_345_2025,llama-3.1-70B,1.0,Affidamento Diretto,Olbia,system,0.625,0.6555886243386243,0.625,0.6397262647262647,0.30994152046783624,"[[1, 4, 0], [5, 29, 0], [1, 3, 0]]"
151,det_00041_15-01-2025,llama-3.3-70B,0.0,Contratti,Lucca,system,0.4444444444444444,0.35555555555555557,0.4444444444444444,0.3888888888888889,0.4444444444444444,"[[2, 1, 0], [0, 2, 0], [1, 2, 0]]"
152,det_00062_17-01-2025,llama-3.3-70B,0.0,Determine,Lucca,system,0.7272727272727273,0.6565656565656566,0.7272727272727273,0.6898395721925134,0.4583333333333333,"[[0, 1, 0], [0, 7, 1], [0, 1, 1]]"
153,det_00427_28-02-2025,llama-3.3-70B,0.0,Determine,Lucca,system,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.25,"[[0, 1, 0], [0, 6, 0], [0, 1, 0]]"
154,det_00041_15-01-2025,llama-3.3-70B,0.01,Contratti,Lucca,system,0.4444444444444444,0.35555555555555557,0.4444444444444444,0.3888888888888889,0.4444444444444444,"[[2, 1, 0], [0, 2, 0], [1, 2, 0]]"
155,det_00062_17-01-2025,llama-3.3-70B,0.01,Determine,Lucca,system,0.7272727272727273,0.6565656565656566,0.7272727272727273,0.6898395721925134,0.4583333333333333,"[[0, 1, 0], [0, 7, 1], [0, 1, 1]]"
156,det_00427_28-02-2025,llama-3.3-70B,0.01,Determine,Lucca,system,0.6363636363636364,0.5656565656565656,0.6363636363636364,0.5989304812834224,0.2916666666666667,"[[0, 1, 0], [0, 7, 0], [0, 1, 0]]"
157,det_00041_15-01-2025,llama-3.3-70B,0.2,Contratti,Lucca,system,0.5555555555555556,0.3888888888888889,0.5555555555555556,0.4444444444444444,0.5555555555555555,"[[2, 1, 0], [0, 3, 0], [1, 2, 0]]"
158,det_00062_17-01-2025,llama-3.3-70B,0.2,Determine,Lucca,system,0.7272727272727273,0.6565656565656566,0.7272727272727273,0.6898395721925134,0.4583333333333333,"[[0, 1, 0], [0, 7, 1], [0, 1, 1]]"
159,det_00427_28-02-2025,llama-3.3-70B,0.2,Determine,Lucca,system,0.5454545454545454,0.7272727272727273,0.5454545454545454,0.6233766233766234,0.25,"[[0, 0, 0], [0, 6, 0], [0, 0, 0]]"
160,det_00041_15-01-2025,llama-3.3-70B,0.4,Contratti,Lucca,system,0.4444444444444444,0.35555555555555557,0.4444444444444444,0.3888888888888889,0.4444444444444444,"[[2, 1, 0], [0, 2, 0], [1, 2, 0]]"
161,det_00062_17-01-2025,llama-3.3-70B,0.4,Determine,Lucca,system,0.6363636363636364,0.509090909090909,0.6363636363636364,0.5656565656565656,0.2916666666666667,"[[0, 1, 0], [0, 7, 1], [0, 2, 0]]"
162,det_00427_28-02-2025,llama-3.3-70B,0.4,Determine,Lucca,system,0.7272727272727273,0.6464646464646464,0.7272727272727273,0.6844919786096256,0.3333333333333333,"[[0, 1, 0], [0, 8, 0], [0, 0, 0]]"
163,det_00041_15-01-2025,llama-3.3-70B,0.5,Contratti,Lucca,system,0.5555555555555556,0.3888888888888889,0.5555555555555556,0.4444444444444444,0.5555555555555555,"[[2, 1, 0], [0, 3, 0], [1, 2, 0]]"
164,det_00062_17-01-2025,llama-3.3-70B,0.5,Determine,Lucca,system,0.7272727272727273,0.5289256198347108,0.7272727272727273,0.6124401913875598,0.3333333333333333,"[[0, 1, 0], [0, 8, 0], [0, 2, 0]]"
165,det_00427_28-02-2025,llama-3.3-70B,0.5,Determine,Lucca,system,0.6363636363636364,0.7272727272727273,0.6363636363636364,0.6787878787878788,0.2916666666666667,"[[0, 0, 0], [0, 7, 0], [0, 0, 0]]"
166,det_00041_15-01-2025,llama-3.3-70B,0.6,Contratti,Lucca,system,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4148148148148148,0.4444444444444444,"[[2, 1, 0], [0, 2, 0], [0, 3, 0]]"
167,det_00062_17-01-2025,llama-3.3-70B,0.6,Determine,Lucca,system,0.8181818181818182,0.7636363636363637,0.8181818181818182,0.7676767676767677,0.5,"[[0, 1, 0], [0, 8, 0], [0, 1, 1]]"
168,det_00427_28-02-2025,llama-3.3-70B,0.6,Determine,Lucca,system,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.2916666666666667,"[[0, 1, 0], [0, 7, 0], [0, 0, 0]]"
169,det_00041_15-01-2025,llama-3.3-70B,0.8,Contratti,Lucca,system,0.5555555555555556,0.4166666666666667,0.5555555555555556,0.47619047619047616,0.5555555555555555,"[[2, 1, 0], [0, 3, 0], [2, 0, 0]]"
170,det_00062_17-01-2025,llama-3.3-70B,0.8,Determine,Lucca,system,0.8181818181818182,0.8282828282828283,0.8181818181818182,0.805704099821747,0.5,"[[0, 1, 0], [0, 8, 0], [0, 0, 1]]"
171,det_00427_28-02-2025,llama-3.3-70B,0.8,Determine,Lucca,system,0.45454545454545453,0.7272727272727273,0.45454545454545453,0.5594405594405595,0.20833333333333334,"[[0, 0, 0], [0, 5, 0], [0, 0, 0]]"
172,det_00041_15-01-2025,llama-3.3-70B,1.0,Contratti,Lucca,system,0.5555555555555556,0.5,0.5555555555555556,0.48888888888888893,0.5555555555555555,"[[2, 1, 0], [0, 3, 0], [0, 2, 0]]"
